,community_id,community_name,total_pop,pop_18_34,pct_18_34,asian_pop,pct_asian,total_households,high_income_households,high_income_share,crime_count,violent_crime_count,total_cta_rides,avg_cta_rides,num_cta_stations,num_divvy_stations,total_docks,avg_docks_per_station,pct_18_34_z,pct_asian_z,high_income_share_z,total_cta_rides_z,num_divvy_stations_z,crime_count_z,final_score,competition_score_x,final_score_adj,competition_score_y,num_competitors,final_score_white_space
14,15,PORTAGE PARK,64201,14524,0.22622700580987834,3935,0.06129188018878211,15314,9996,0.6527360585085543,2776,699,0.0,0.0,0.0,19.0,271.0,14.263157894736842,-0.4792572235263452,-0.033956762077885894,0.6453264978937613,-0.41241506232320246,0.28565446923319293,-0.02624415139325355,0.031596070592774264,,0.031596070592774264,,2.0,-0.9684039294072257
15,16,IRVING PARK,53535,13173,0.2460633230596806,5083,0.09494723078359951,12614,8030,0.6365942603456477,2128,574,1753278.0,1755.033033033033,3.0,19.0,261.0,13.736842105263158,-0.23941050184040844,0.2958932346029918,0.5612417299869072,0.17801850454366536,0.28565446923319293,-0.30968098644039194,1.3910784229667408,,1.3910784229667408,,0.0,1.3910784229667408
16,17,DUNNING,42548,8659,0.20351132838206262,2450,0.05758202500705086,11080,7469,0.6740974729241878,1286,358,0.0,0.0,0.0,16.0,231.0,14.4375,-0.7539191324545836,-0.07031638091272951,0.7566009392647488,-0.41241506232320246,0.08447708388908452,-0.6779739109923835,0.2824013584557012,,0.2824013584557012,,2.0,-0.7175986415442988
17,18,MONTCLARE,13755,2669,0.1940385314431116,446,0.03242457288258815,3202,1916,0.5983760149906309,604,159,0.0,0.0,0.0,3.0,42.0,14.0,-0.8684574947116519,-0.31688001353259604,0.36215782012434367,-0.41241506232320246,-0.7872915859353853,-0.9762824318290322,-1.0466039045494597,,-1.0466039045494597,,0.0,-1.0466039045494597
18,19,BELMONT CRAGIN,73988,17559,0.23732226847596907,1939,0.026206952478780344,16346,7887,0.48250336473755046,3613,1155,0.0,0.0,0.0,25.0,359.0,14.36,-0.3451011529617469,-0.37781778518887404,-0.24143818603014797,-0.41241506232320246,0.6880092399214098,0.3398617605426335,-1.028624707125195,,-1.028624707125195,,1.0,-1.528624707125195
19,20,HERMOSA,23200,6120,0.2637931034482759,702,0.030258620689655173,5214,2418,0.46375143843498273,1054,351,0.0,0.0,0.0,7.0,101.0,14.428571428571429,-0.02503453432261791,-0.3381081187528072,-0.3391194576607875,-0.41241506232320246,-0.5190550721432408,-0.7794512963796305,-0.8542809488230254,,-0.8542809488230254,,0.0,-0.8542809488230254
20,21,AVONDALE,36350,12789,0.35182943603851446,1750,0.048143053645116916,7771,4785,0.615750868614078,1981,459,972947.0,2921.7627627627626,1.0,12.0,155.0,12.916666666666666,1.03943854780819,-0.16282602996937168,0.452665737495059,-0.08476561506930522,-0.18375942990306005,-0.3739791573538631,1.4347323677153752,,1.4347323677153752,,0.0,1.4347323677153752
21,22,LOGAN SQUARE,71354,28721,0.4025142248507442,3344,0.04686492698377106,13825,9716,0.7027848101265822,4136,879,3283650.0,3286.936936936937,3.0,38.0,590.0,15.526315789473685,1.6522831743014736,-0.17535271792690532,0.9060370842459251,0.6933862891124458,1.5597779097458797,0.5686232801871604,4.067508459291658,,4.067508459291658,,4.0,2.067508459291658
22,23,HUMBOLDT PARK,55015,14572,0.26487321639552847,1335,0.024266109242933747,11956,4101,0.3430076948812312,5712,1770,0.0,0.0,0.0,14.0,185.0,13.214285714285714,-0.011974572325304716,-0.3968396382846693,-0.9680896349891437,-0.41241506232320246,-0.049641173006987754,1.257969656783287,-3.096929737712595,,-3.096929737712595,,0.0,-3.096929737712595
23,24,WEST TOWN,86453,39534,0.4572889315581877,5138,0.059431135992967274,16531,13169,0.7966245236222854,6335,1302,3849236.0,2889.8168168168168,4.0,56.0,969.0,17.303571428571427,2.3145801959535133,-0.0521935789871116,1.3948606000710706,0.8838529232400424,2.7668422218105304,1.530471428749903,5.777470933338142,,5.777470933338142,19.2858,8.0,1.777470933338142
24,25,AUSTIN,100278,22567,0.22504437663296037,678,0.00676120385328786,21962,7772,0.353883981422457,10925,4007,1130627.0,679.0552552552552,5.0,33.0,409.0,12.393939393939394,-0.4935567392823125,-0.5684020461225159,-0.9114336156115148,-0.031665328164679866,1.224482267505699,3.5381490103338,-4.318724472009124,,-4.318724472009124,,0.0,-4.318724472009124
25,26,WEST GARFIELD PARK,16345,4185,0.2560416029366779,12,0.0007341694707861732,3456,778,0.22511574074074073,3095,1225,433466.0,650.8498498498499,2.0,5.0,55.0,11.0,-0.11876019732955423,-0.6274719186963541,-1.582204462962165,-0.2664411343462851,-0.653173329039313,0.11328725351421116,-3.3613382958878826,,-3.3613382958878826,,0.0,-3.3613382958878826
26,27,EAST GARFIELD PARK,19855,5039,0.2537899773356837,35,0.0017627801561319568,4195,1203,0.2867699642431466,3484,1271,799328.0,600.0960960960961,4.0,14.0,179.0,12.785714285714286,-0.14598526194521338,-0.61739069163585,-1.2610394340504414,-0.1432335165919723,-0.049641173006987754,0.28343683504713835,-2.500726912277603,,-2.500726912277603,,0.0,-2.500726912277603
27,28,NEAR WEST SIDE,65370,29727,0.45474988526847177,11600,0.17745143031971852,11948,8142,0.6814529628389688,9542,2526,5372605.0,1613.3948948948948,10.0,74.0,1386.0,18.72972972972973,2.2838798436084593,1.1045019539350678,0.794916661966996,1.3968623788565582,3.973906533875181,2.9332213207193054,6.620846051522957,,6.620846051522957,19.4672,8.0,2.620846051522957
28,29,NORTH LAWNDALE,30355,7644,0.2518201284796574,59,0.00194366661176083,6548,2067,0.315668906536347,5950,2150,743238.0,557.9864864864865,4.0,19.0,255.0,13.421052631578947,-0.16980328140844875,-0.6156178562401615,-1.1105010100809667,-0.1621223743575763,0.28565446923319293,1.3620714573098593,-3.1344615101638196,,-3.1344615101638196,,0.0,-3.1344615101638196
29,30,SOUTH LAWNDALE,69554,21199,0.3047847715444115,606,0.00871265491560514,13511,4039,0.2989416031381837,3408,1312,294954.0,885.7477477477478,1.0,20.0,248.0,12.4,0.47060773059397837,-0.5492762276404058,-1.1976357524279635,-0.31308640920507164,0.3527135976812291,0.2501942432823505,-1.486871304280584,,-1.486871304280584,,0.0,-1.486871304280584
30,31,LOWER WEST SIDE,34177,12055,0.35272259121631505,1430,0.04184100418410042,7215,3513,0.48690228690228693,2455,842,1274841.0,957.0878378378378,4.0,15.0,202.0,13.466666666666667,1.0502379486573787,-0.22459127552646665,-0.21852361693882075,0.01690015113303474,0.017417955441048384,-0.16665036134716005,0.8080915241133346,,0.8080915241133346,,2.0,-0.19190847588666538
31,32,LOOP,38284,20579,0.5375352627729599,8849,0.23114094660954967,6882,5899,0.8571636152281313,7938,1770,22633858.0,4248.096471471472,16.0,58.0,1598.0,27.551724137931036,3.2848620898559138,1.6307031806941146,1.7102167590067558,7.209758666485459,2.900960478706603,2.231627673472994,14.504873501275851,18.892599999999998,-4.387726498724147,,10.0,-9.387726498724147
32,33,NEAR SOUTH SIDE,26307,8693,0.33044436841905195,3830,0.14558862660128483,5715,4853,0.8491688538932634,2231,589,2523077.0,3788.403903903904,2.0,15.0,383.0,25.533333333333335,0.7808654317923481,0.792220384585223,1.6685709866752787,0.4372558698334528,0.017417955441048384,-0.26462852654864,3.960959154875991,,3.960959154875991,,0.0,3.960959154875991
33,34,ARMOUR SQUARE,13149,2840,0.21598600654042133,8402,0.638983953152331,3103,1234,0.39767966484047695,1060,339,1825520.0,2741.021021021021,2.0,9.0,124.0,13.777777777777779,-0.603084145158778,5.627898633329555,-0.6832960910085458,0.20234670676692731,-0.38493681524716844,-0.7768268812403052,4.935755169922295,,4.935755169922295,,20.0,-5.064244830077705
34,35,DOUGLAS,18629,6604,0.35450104675505933,2006,0.10768157174298137,2954,1168,0.3953960731211916,2642,790,277499.0,833.3303303303303,1.0,12.0,189.0,15.75,1.0717417754645582,0.4207002043402821,-0.6951916232021874,-0.31896455169568705,-0.18375942990306005,-0.08485608950485315,0.3793824645087589,,0.3793824645087589,,0.0,0.3793824645087589
35,36,OAKLAND,4373,851,0.1946032471987194,51,0.011662474273953807,1040,307,0.2951923076923077,731,218,0.0,0.0,0.0,0.0,0.0,0.0,-0.8616293511121497,-0.5203655822790014,-1.2171663297650759,-0.41241506232320246,-0.9884689712794937,-0.9207323113799788,-3.0793129853789445,,-3.0793129853789445,,0.0,-3.0793129853789445
